enrollment_id,student_id,course_id,enrollment_date,final_grade,attendance_pct
1,36,11,2024-03-07,C+,66
2,17,6,2023-11-13,B+,61
3,4,24,2022-06-03,C+,97
4,31,4,2023-05-03,B+,75
5,16,13,2023-06-11,C,95
6,33,22,2023-11-01,A,95
7,2,23,2024-07-03,C+,92
8,40,16,2022-06-08,B,79
9,20,1,2023-07-15,B,65
10,40,10,2023-03-21,B-,78
11,21,10,2022-08-16,B,61
12,7,29,2023-11-15,A-,84
13,20,9,2024-07-12,B-,88
14,19,15,2023-08-04,C+,93
15,17,18,2023-09-26,C+,62
16,17,26,2022-09-28,In Progress,79
17,17,7,2024-05-05,B-,93
18,14,23,2024-11-04,A-,78
19,20,22,2023-01-27,B+,79
20,23,5,2024-11-18,In Progress,64
21,14,27,2022-10-15,B,91
22,38,18,2023-04-28,C+,89
23,23,28,2023-07-13,B,84
24,39,21,2022-08-17,In Progress,73
25,27,29,2022-07-12,C,78
26,29,31,2024-01-28,A+,99
27,15,8,2023-06-13,B+,66
28,40,5,2022-11-21,B,73
29,22,9,2024-01-13,In Progress,76
30,14,26,2023-05-21,B,66
31,19,12,2023-02-09,B-,80
32,37,21,2024-08-22,B+,97
33,22,11,2023-02-09,C+,95
34,1,13,2024-08-21,B-,100
35,12,27,2023-03-11,C+,81
36,18,13,2024-11-24,C+,79
37,11,7,2023-06-15,B-,98
38,23,32,2024-09-18,A+,71
39,19,29,2023-12-08,C+,94
40,16,6,2023-12-14,C+,72
41,21,20,2024-09-29,A-,76
42,1,12,2024-02-09,B+,69
43,15,18,2024-03-11,A-,67
44,26,14,2022-09-18,A+,88
45,39,16,2024-10-31,A+,71
46,18,14,2024-01-17,B-,90
47,30,6,2023-10-14,A,74
48,12,29,2022-09-04,A,91
49,23,11,2023-02-06,A,73
50,11,2,2024-04-18,A+,96
51,18,15,2024-05-27,B+,62
52,20,6,2023-10-26,A-,80
53,30,23,2024-04-09,A+,90
54,13,20,2024-08-17,C+,68
55,31,11,2023-07-26,A+,88
56,6,3,2024-08-01,In Progress,95
57,19,15,2023-12-10,C,73
58,15,17,2023-08-19,A,84
59,23,5,2022-08-25,C,61
60,31,29,2023-05-19,A,74
